stock,endDate,cash
AFI,2016-12-31,30600000.0
AFI,2017-12-31,40100000.0
AFI,2018-12-31,173800000.0
AFI,2019-12-31,27100000.0
AFIN,2016-12-31,131215000.0
AFIN,2017-12-31,107666000.0
AFIN,2018-12-31,91451000.0
AFIN,2019-12-31,81898000.0
AFL,2016-12-31,4859000000.0
AFL,2017-12-31,3491000000.0
AFL,2018-12-31,4337000000.0
AFL,2019-12-31,4896000000.0
AFT,2016-12-31,20504763.0
AFT,2017-12-31,13086655.0
AFT,2018-12-31,23310262.0
AFT,2019-12-31,14020233.0
AG,2016-12-31,129049000.0
AG,2017-12-31,118141000.0
AG,2018-12-31,57013000.0
AG,2019-12-31,169009000.0
AGCO,2016-12-31,429700000.0
AGCO,2017-12-31,367700000.0
AGCO,2018-12-31,326100000.0
AGCO,2019-12-31,432800000.0
AGD,2016-10-31,413431.0
AGD,2017-10-31,18891.0
AGD,2018-10-31,69388.0
AGD,2019-10-31,58410.0
AGEN,2016-12-31,71448016.0
AGEN,2017-12-31,60186617.0
AGEN,2018-12-31,53054000.0
AGEN,2019-12-31,61808000.0
AGFS,2016-12-31,77312000.0
AGFS,2017-12-31,64533000.0
AGFS,2018-12-31,34852000.0
AGFS,2019-12-31,29288000.0
AGI,2016-12-31,252200000.0
AGI,2017-12-31,200800000.0
AGI,2018-12-31,206000000.0
AGI,2019-12-31,182800000.0
AGIO,2016-12-31,160754000.0
AGIO,2017-12-31,102724000.0
AGIO,2018-12-31,70502000.0
AGIO,2019-12-31,80931000.0
AGLE,2016-12-31,47748000.0
AGLE,2017-12-31,12817000.0
AGLE,2018-12-31,22461000.0
AGLE,2019-12-31,19253000.0
AGM,2016-12-31,265229000.0
AGM,2017-12-31,302022000.0
AGM,2018-12-31,425256000.0
AGM,2019-12-31,604381000.0
AGNC,2016-12-31,1208000000.0
AGNC,2017-12-31,1046000000.0
AGNC,2018-12-31,921000000.0
AGNC,2019-12-31,831000000.0
AGO,2016-12-31,118000000.0
AGO,2017-12-31,144000000.0
AGO,2018-12-31,104000000.0
AGO,2019-12-31,169000000.0
AGR,2016-12-31,91000000.0
AGR,2017-12-31,41000000.0
AGR,2018-12-31,36000000.0
AGR,2019-12-31,178000000.0
AGRO,2016-12-31,158568000.0
AGRO,2017-12-31,269195000.0
AGRO,2018-12-31,273635000.0
AGRO,2019-12-31,290276000.0
AGRX,2016-12-31,48750000.0
AGRX,2017-12-31,35952000.0
AGRX,2018-12-31,7851000.0
AGRX,2019-12-31,34479000.0
AGS,2016-12-31,17977000.0
AGS,2017-12-31,19242000.0
AGS,2018-12-31,70726000.0
AGS,2019-12-31,13162000.0
AGTC,2016-06-30,28868000.0
AGTC,2017-06-30,30706000.0
AGTC,2018-06-30,31065000.0
AGTC,2019-06-30,26703000.0
AGX,2017-01-31,167198000.0
AGX,2018-01-31,122107000.0
AGX,2019-01-31,164318000.0
AGX,2020-01-31,167363000.0
AGYS,2017-03-31,49255000.0
AGYS,2018-03-31,39943000.0
AGYS,2019-03-31,40771000.0
AGYS,2020-03-31,46653000.0
AHC,2016-12-31,80071000.0
AHC,2017-12-31,57660000.0
AHC,2018-12-31,55313000.0
AHC,2019-12-31,48626000.0
AHH,2016-12-31,21942000.0
AHH,2017-12-31,19959000.0
AHH,2018-12-31,21254000.0
AHH,2019-12-31,39232000.0
AHPI,2016-06-30,1703663.0
AHPI,2017-06-30,995704.0
AHPI,2018-06-30,136112.0
AHPI,2019-06-30,195454.0
AHT,2016-12-31,347091000.0
AHT,2017-12-31,354805000.0
AHT,2018-12-31,319210000.0
AHT,2019-12-31,262636000.0
AI,2016-12-31,54794000.0
AI,2017-12-31,21614000.0
AI,2018-12-31,26713000.0
AI,2019-12-31,19636000.0
AIG,2016-12-31,1868000000.0
AIG,2017-12-31,2362000000.0
AIG,2018-12-31,2873000000.0
AIG,2019-12-31,2856000000.0
AIKI,2016-12-31,134000.0
AIKI,2017-12-31,197000.0
AIKI,2018-12-31,17000.0
AIKI,2019-12-31,91000.0
AIM,2016-12-31,2408000.0
AIM,2017-12-31,1412000.0
AIM,2018-12-31,299000.0
AIM,2019-12-31,1470000.0
AIMC,2016-12-31,69118000.0
AIMC,2017-12-31,51994000.0
AIMC,2018-12-31,169000000.0
AIMC,2019-12-31,167300000.0
AIMT,2016-12-31,124010000.0
AIMT,2017-12-31,73487000.0
AIMT,2018-12-31,107511000.0
AIMT,2019-12-31,79880000.0
AIN,2016-12-31,181742000.0
AIN,2017-12-31,183727000.0
AIN,2018-12-31,197755000.0
AIN,2019-12-31,195540000.0
AINC,2016-12-31,84091000.0
AINC,2017-12-31,36480000.0
AINC,2018-12-31,51529000.0
AINC,2019-12-31,35349000.0
AINV,2017-03-31,11280000.0
AINV,2018-03-31,15333000.0
AINV,2019-03-31,41189000.0
AINV,2020-03-31,43676000.0
AIR,2016-05-31,31200000.0
AIR,2017-05-31,10300000.0
AIR,2018-05-31,31100000.0
AIR,2019-05-31,21300000.0
AIRG,2016-12-31,45161403.0
AIRG,2017-12-31,15026068.0
AIRG,2018-12-31,13621000.0
AIRG,2019-12-31,13197000.0
AIRI,2016-12-31,1304000.0
AIRI,2017-12-31,630000.0
AIRI,2018-12-31,2012000.0
AIRI,2019-12-31,1294000.0
AIRT,2016-03-31,5345455.0
AIRT,2017-03-31,2763365.0
AIRT,2018-03-31,4803238.0
AIRT,2019-03-31,12524321.0
AIT,2016-06-30,59861000.0
AIT,2017-06-30,105057000.0
AIT,2018-06-30,54150000.0
AIT,2019-06-30,108219000.0
AIV,2016-12-31,61244000.0
AIV,2017-12-31,76786000.0
AIV,2018-12-31,36858000.0
AIV,2019-12-31,142902000.0
AIZ,2016-12-31,1032000000.0
AIZ,2017-12-31,1066600000.0
AIZ,2018-12-31,1316600000.0
AIZ,2019-12-31,1900000000.0
AJG,2016-12-31,545500000.0
AJG,2017-12-31,681200000.0
AJG,2018-12-31,607200000.0
AJG,2019-12-31,604800000.0
AJRD,2016-12-31,410300000.0
AJRD,2017-12-31,535000000.0
AJRD,2018-12-31,735300000.0
AJRD,2019-12-31,932600000.0
AJX,2016-12-31,35723000.0
AJX,2017-12-31,53721000.0
AJX,2018-12-31,55146000.0
AJX,2019-12-31,64343000.0
AKAM,2016-12-31,324169000.0
AKAM,2017-12-31,313382000.0
AKAM,2018-12-31,1036455000.0
AKAM,2019-12-31,393745000.0
AKBA,2016-12-31,187335000.0
AKBA,2017-12-31,70156000.0
AKBA,2018-12-31,104644000.0
AKBA,2019-12-31,147449000.0
AKCA,2016-12-31,7857000.0
AKCA,2017-12-31,58367000.0
AKCA,2018-12-31,86454000.0
AKCA,2019-12-31,306866000.0
AKER,2016-12-31,72700.0
AKER,2017-12-31,438432.0
AKER,2018-12-31,181755.0
AKER,2019-12-31,517444.0
AKR,2016-12-31,71805000.0
AKR,2017-12-31,74823000.0
AKR,2018-12-31,21268000.0
AKR,2019-12-31,15845000.0
AKRO,2017-12-31,598000.0
AKRO,2018-12-31,75975000.0
AKRO,2019-12-31,64788000.0
AKRX,2016-12-31,200772000.0
AKRX,2017-12-31,368119000.0
AKRX,2018-12-31,224868000.0
AKRX,2019-12-31,144804000.0
AKTS,2016-06-30,4155444.0
AKTS,2017-06-30,9631520.0
AKTS,2018-06-30,14817000.0
AKTS,2019-06-30,30154000.0
AKTX,2016-12-31,34098812.0
AKTX,2017-12-31,28106671.0
AKTX,2018-12-31,5446138.0
AKTX,2019-12-31,5731691.0
AL,2016-12-31,274802000.0
AL,2017-12-31,292204000.0
AL,2018-12-31,300127000.0
AL,2019-12-31,317488000.0
ALB,2016-12-31,2269756000.0
ALB,2017-12-31,1137303000.0
ALB,2018-12-31,555320000.0
ALB,2019-12-31,613110000.0
ALBO,2016-12-31,29931000.0
ALBO,2017-12-31,53231000.0
ALBO,2018-12-31,163885000.0
ALBO,2019-12-31,131843000.0
ALC,2016-12-31,162000000.0
ALC,2017-12-31,172000000.0
ALC,2018-12-31,227000000.0
ALC,2019-12-31,822000000.0
ALCO,2016-09-30,6625000.0
ALCO,2017-09-30,3395000.0
ALCO,2018-09-30,25260000.0
ALCO,2019-09-30,18630000.0
ALDX,2016-12-31,12015061.0
ALDX,2017-12-31,2023337.0
ALDX,2018-12-31,3357472.0
ALDX,2019-12-31,16425830.0
ALE,2016-12-31,27500000.0
ALE,2017-12-31,98900000.0
ALE,2018-12-31,69100000.0
ALE,2019-12-31,69300000.0
ALEC,2016-12-31,50838000.0
ALEC,2017-12-31,32451000.0
ALEC,2018-12-31,65470000.0
ALEC,2019-12-31,89641000.0
ALEX,2016-12-31,2200000.0
ALEX,2017-12-31,68900000.0
ALEX,2018-12-31,11400000.0
ALEX,2019-12-31,15200000.0
ALG,2016-12-31,16793000.0
ALG,2017-12-31,25373000.0
ALG,2018-12-31,34043000.0
ALG,2019-12-31,42311000.0
ALGN,2016-12-31,389275000.0
ALGN,2017-12-31,449511000.0
ALGN,2018-12-31,636899000.0
ALGN,2019-12-31,550425000.0
ALGT,2016-12-31,64711000.0
ALGT,2017-12-31,59449000.0
ALGT,2018-12-31,81520000.0
ALGT,2019-12-31,121888000.0
ALIM,2016-12-31,30979000.0
ALIM,2017-12-31,24067000.0
ALIM,2018-12-31,13043000.0
ALIM,2019-12-31,9426000.0
ALJJ,2016-09-30,5279000.0
ALJJ,2017-09-30,5630000.0
ALJJ,2018-09-30,2000000.0
ALJJ,2019-09-30,4529000.0
ALK,2016-12-31,328000000.0
ALK,2017-12-31,194000000.0
ALK,2018-12-31,105000000.0
ALK,2019-12-31,221000000.0
ALKS,2016-12-31,186378000.0
ALKS,2017-12-31,191296000.0
ALKS,2018-12-31,266762000.0
ALKS,2019-12-31,203771000.0
ALL,2016-12-31,436000000.0
ALL,2017-12-31,617000000.0
ALL,2018-12-31,499000000.0
ALL,2019-12-31,338000000.0
ALLE,2016-12-31,312400000.0
ALLE,2017-12-31,466200000.0
ALLE,2018-12-31,283800000.0
ALLE,2019-12-31,355300000.0
ALLK,2016-12-31,13416000.0
ALLK,2017-12-31,85207000.0
ALLK,2018-12-31,33660000.0
ALLK,2019-12-31,38367000.0
ALLT,2016-12-31,23326000.0
ALLT,2017-12-31,15342000.0
ALLT,2018-12-31,16336000.0
ALLT,2019-12-31,16930000.0
ALLY,2016-12-31,5934000000.0
ALLY,2017-12-31,4252000000.0
ALLY,2018-12-31,4537000000.0
ALLY,2019-12-31,3555000000.0
ALNA,2016-12-31,25250000.0
ALNA,2017-12-31,94494000.0
ALNA,2018-12-31,61643000.0
ALNA,2019-12-31,30007000.0
ALNY,2016-12-31,193617000.0
ALNY,2017-12-31,645361000.0
ALNY,2018-12-31,420146000.0
ALNY,2019-12-31,547178000.0
ALO,2016-12-31,33877000.0
ALO,2017-12-31,31474000.0
ALO,2018-12-31,21978000.0
ALO,2019-12-31,16567000.0
ALOT,2017-01-31,18098000.0
ALOT,2018-01-31,10177000.0
ALOT,2019-01-31,7534000.0
ALOT,2020-01-31,4249000.0
ALPN,2016-12-31,11819000.0
ALPN,2017-12-31,8000000.0
ALPN,2018-12-31,10711000.0
ALPN,2019-12-31,16123000.0
ALRM,2016-12-31,140634000.0
ALRM,2017-12-31,96329000.0
ALRM,2018-12-31,146061000.0
ALRM,2019-12-31,119629000.0
ALRN,2016-12-31,20715000.0
ALRN,2017-12-31,11863000.0
ALRN,2018-12-31,10635000.0
ALRN,2019-12-31,5311000.0
ALRS,2016-12-31,29767000.0
ALRS,2017-12-31,30598000.0
ALRS,2018-12-31,24351000.0
ALRS,2019-12-31,20806000.0
ALSK,2016-12-31,21228000.0
ALSK,2017-12-31,4354000.0
ALSK,2018-12-31,13351000.0
ALSK,2019-12-31,26662000.0
ALSN,2016-12-31,205000000.0
ALSN,2017-12-31,199000000.0
ALSN,2018-12-31,231000000.0
ALSN,2019-12-31,192000000.0
ALT,2016-12-31,2876113.0
ALT,2017-12-31,8769465.0
ALT,2018-12-31,33718713.0
ALT,2019-12-31,8962686.0
ALTR,2016-12-31,16874000.0
ALTR,2017-12-31,39213000.0
ALTR,2018-12-31,35345000.0
ALTR,2019-12-31,223117000.0
ALV,2016-12-31,1226700000.0
ALV,2017-12-31,959500000.0
ALV,2018-12-31,615800000.0
ALV,2019-12-31,444700000.0
ALX,2016-12-31,288926000.0
ALX,2017-12-31,307536000.0
ALX,2018-12-31,283056000.0
ALX,2019-12-31,298063000.0
ALXN,2016-12-31,966000000.0
ALXN,2017-12-31,584400000.0
ALXN,2018-12-31,1365500000.0
ALXN,2019-12-31,2685500000.0
AM,2016-12-31,9609000.0
AM,2017-12-31,5987000.0
AM,2018-12-31,2822000.0
AM,2019-12-31,1235000.0
AMAG,2016-12-31,274305000.0
AMAG,2017-12-31,162855000.0
AMAG,2018-12-31,253256000.0
AMAG,2019-12-31,113009000.0
AMAL,2016-12-31,140635000.0
AMAL,2017-12-31,116459000.0
AMAL,2018-12-31,80845000.0
AMAL,2019-12-31,113438000.0
AMAT,2016-10-30,3406000000.0
AMAT,2017-10-29,5010000000.0
AMAT,2018-10-28,3440000000.0
AMAT,2019-10-27,3129000000.0
AMBA,2017-01-31,322872000.0
AMBA,2018-01-31,346672000.0
AMBA,2019-01-31,194047000.0
AMBA,2020-01-31,231403000.0
AMBC,2016-12-31,91025000.0
AMBC,2017-12-31,623703000.0
AMBC,2018-12-31,63000000.0
AMBC,2019-12-31,24000000.0
AMC,2016-12-31,207100000.0
AMC,2017-12-31,310000000.0
AMC,2018-12-31,313300000.0
AMC,2019-12-31,265000000.0
AMCR,2016-06-30,515700000.0
AMCR,2017-06-30,561500000.0
AMCR,2018-06-30,620800000.0
AMCR,2019-06-30,601600000.0
AMCX,2016-12-31,481389000.0
AMCX,2017-12-31,558783000.0
AMCX,2018-12-31,554886000.0
AMCX,2019-12-31,816170000.0
AMD,2016-12-31,1264000000.0
AMD,2017-12-30,1185000000.0
AMD,2018-12-29,1078000000.0
AMD,2019-12-28,1466000000.0
AME,2016-12-31,717259000.0
AME,2017-12-31,646300000.0
AME,2018-12-31,353975000.0
AME,2019-12-31,393030000.0
AMED,2016-12-31,30197000.0
AMED,2017-12-31,86363000.0
AMED,2018-12-31,20229000.0
AMED,2019-12-31,30294000.0
AMEH,2016-12-31,55875319.0
AMEH,2017-12-31,99749199.0
AMEH,2018-12-31,106891503.0
AMEH,2019-12-31,103189328.0
AMG,2016-12-31,430800000.0
AMG,2017-12-31,439500000.0
AMG,2018-12-31,565500000.0
AMG,2019-12-31,539600000.0
AMGN,2016-12-31,3241000000.0
AMGN,2017-12-31,3800000000.0
AMGN,2018-12-31,6945000000.0
AMGN,2019-12-31,6037000000.0
AMH,2016-12-31,118799000.0
AMH,2017-12-31,46156000.0
AMH,2018-12-31,30284000.0
AMH,2019-12-31,37575000.0
AMK,2017-12-31,50147000.0
AMK,2018-12-31,105354000.0
AMK,2019-12-31,96341000.0
AMKR,2016-12-31,549518000.0
AMKR,2017-12-31,596364000.0
AMKR,2018-12-31,681569000.0
AMKR,2019-12-31,894948000.0
